Tool_ID,Group,Position,Condition,TCond,Init_diameter,Final_diameter,R_measurement,ap,vc,f,Ra,Rz,Rsk,Rku,RSm,Rt,Fx,Fy,Fz
51,1,f,7,0,90.9,90.4,1,0.25,390,0.07,0.49,1.955,0.532,1.867,70.7,2.125,52.92,44.28,22.37
51,1,f,7,0,90.9,90.4,2,0.25,390,0.07,0.462,1.872,0.488,1.849,70.9,2.166,52.92,44.28,22.37
51,1,f,7,0,90.9,90.4,3,0.25,390,0.07,0.453,1.759,0.401,1.739,70.3,1.989,52.92,44.28,22.37
51,1,f,7,0,90.9,90.4,4,0.25,390,0.07,0.49,1.924,0.333,1.737,70,2.102,52.92,44.28,22.37
51,1,f,7,0,90.9,90.4,5,0.25,390,0.07,0.457,1.834,0.405,1.843,71.4,1.986,52.92,44.28,22.37
51,1,f,7,0,90.9,90.4,6,0.25,390,0.07,0.468,1.944,0.429,1.864,69.9,2.078,52.92,44.28,22.37
51,1,g,2,0,90.9,90.4,1,0.25,310,0.1,0.878,3.082,0.074,1.561,100,3.243,68.78,49.87,23.98
51,1,g,2,0,90.9,90.4,2,0.25,310,0.1,0.858,3.062,0.094,1.581,101.5,3.252,68.78,49.87,23.98
51,1,g,2,0,90.9,90.4,3,0.25,310,0.1,0.861,3.225,0.049,1.641,101.3,3.486,68.78,49.87,23.98
51,1,g,2,0,90.9,90.4,4,0.25,310,0.1,0.875,3.057,0.07,1.568,101.5,3.328,68.78,49.87,23.98
51,1,g,2,0,90.9,90.4,5,0.25,310,0.1,0.863,3.119,0.078,1.584,100.5,3.323,68.78,49.87,23.98
51,1,g,2,0,90.9,90.4,6,0.25,310,0.1,0.882,3,0.049,1.516,100.7,3.15,68.78,49.87,23.98
51,1,h,3,0,90.9,90.4,1,0.25,310,0.13,1.18,4.448,0.236,1.842,131.5,4.563,83.42,59.72,25.89
51,1,h,3,0,90.9,90.4,2,0.25,310,0.13,1.175,4.379,0.361,1.864,129.8,4.543,83.42,59.72,25.89
51,1,h,3,0,90.9,90.4,3,0.25,310,0.13,1.126,4.253,0.373,1.892,130.8,4.334,83.42,59.72,25.89
